v,b,m_5p
11.60962492108241,1216835.6986281993,907326659844461.6
11.60962492108241,1304299.3383602048,1038557781467149.4
11.60962492108241,1398049.6840820087,1189036845204062.8
11.60962492108241,1498538.6112509272,1361548773003374.5
11.60962492108241,1606250.4751999467,1559352625857507.2
11.60962492108241,1721704.445724173,1786194348533326.0
11.60962492108241,1845457.0094725697,2046380214319967.8
11.60962492108241,1978104.6522064032,2344861453754785.0
11.60962492108241,2120286.7338529434,2687331786164608.5
11.60962492108241,2272688.570212054,3080339839415578.5
11.60962492108241,2436044.736169517,3531220236781810.5
11.60962492108241,2611142.6063384903,4048552772977118.5
11.60962492108241,2798826.1501950226,4642458678556764.0
11.60962492108241,3000000.0,5323787388742369.0
13.47833908082177,100000.0,10423010231044.31
13.47833908082177,107187.79370383405,11481148957620.984
13.47833908082177,114892.2311909571,12683019385336.676
13.47833908082177,123150.44775069517,14050930256910.39
13.47833908082177,132002.24788036308,15611068061833.627
13.47833908082177,141490.29714242753,17392277067146.506
13.47833908082177,151660.327811967,19427983876485.58
13.47833908082177,162561.35930565,21755709052168.39
13.47833908082177,174245.93445468854,24421287404240.96
13.47833908082177,186770.37276060946,27472083735800.85
13.47833908082177,200195.04185452432,30963120759022.277
13.47833908082177,214584.64846833175,34960618039796.66
13.47833908082177,230008.55032033296,39536395299132.83
13.47833908082177,246541.0904185383,44768914315690.695
13.47833908082177,264261.9553930058,50756674969901.22
13.47833908082177,283256.5595843736,57603545986164.39
13.47833908082177,303616.4567398761,65429181039008.47
13.47833908082177,325439.781301229,74380648573592.6
13.47833908082177,348831.72141137073,84609083785096.69
13.47833908082177,373905.0259199532,96298198817644.14
13.47833908082177,400780.54783134663,109663846931340.95
13.47833908082177,429587.8268145607,124933724565773.56
13.47833908082177,460465.7135827752,142393842930914.12
13.47833908082177,493563.0391519924,162348850787713.22
13.47833908082177,529039.3322046124,185162787827896.9
13.47833908082177,567065.5880156212,211253876752535.28
13.47833908082177,607825.0926476188,241075635518265.66
13.47833908082177,651514.3063872679,275184534970108.28
13.47833908082177,698343.81068135,314207680598881.4
13.47833908082177,748539.3231366203,358845270384395.75
13.47833908082177,802342.7854757563,409916417474542.6
13.47833908082177,860013.5296933495,468387685873674.56
13.47833908082177,921829.5280327708,535289675819909.06
13.47833908082177,988088.7328087935,611919560425604.4
13.47833908082177,1059110.5125339176,699637447827128.4
13.47833908082177,1135237.1912704774,800154455983021.5
13.47833908082177,1216835.6986281993,915267099954886.1
13.47833908082177,1304299.3383602048,1047234510068418.1
13.47833908082177,1398049.6840820087,1198431681005718.0
